"kc","mH","totwidth","h1h1"
0.05011872,1300,42.216458473282444,0.7293278787909605
0.06726324,1300,42.37296968929263,0.7266339917677793
0.09027252,1300,42.65398703393474,0.7218467076451773
0.12115277,1300,43.15895832457262,0.7134009091886716
0.16259647,1300,44.06690240550655,0.6987021648369468
0.21821715,1300,45.70012429754129,0.67373208676464
0.29286446,1300,48.63896504738843,0.633024162384788
0.39304696,1300,53.92846660540657,0.5709348336134452
0.52749971,1300,63.450597771225425,0.48525374369835894
0.70794578,1300,80.59465476330061,0.38203079594809713
0.05011872,1400,52.73382693832878,0.7311518509996143
0.06726324,1400,52.90237761160456,0.7288223500902674
0.09027252,1400,53.205011913791004,0.724676751106193
0.12115277,1400,53.74882757883834,0.7173446736061005
0.16259647,1400,54.726614283455085,0.7045280560670221
0.21821715,1400,56.485470016153876,0.6825903221700418
0.29286446,1400,59.650377935626906,0.6463736946958107
0.39304696,1400,65.34676872233665,0.5900281824198832
0.52749971,1400,75.60137960539605,0.5099964495026275
0.70794578,1400,94.06422477621307,0.40989478484494624
0.05011872,1500,64.86341861748376,0.7326567818218686
0.06726324,1500,65.04400873948961,0.7306226117240907
0.09027252,1500,65.36825998389484,0.7269984477781526
0.12115277,1500,65.95091999581255,0.7205755969024841
0.16259647,1500,66.9985492745965,0.7093082470707965
0.21821715,1500,68.88303875889,0.6899031227207159
0.29286446,1500,72.27401368771639,0.6575340308009979
0.39304696,1500,78.37729341464969,0.6063315211822299
0.52749971,1500,89.36438349565101,0.5317848306373987
0.70794578,1500,109.14601591024214,0.43540410656245687
0.05011872,1600,78.7205696219064,0.7339109938425323
0.06726324,1600,78.91319918570726,0.7321194943713238
0.09027252,1600,79.25906735987925,0.7289246948205776
0.12115277,1600,79.88057169629177,0.7232533551051816
0.16259647,1600,80.99804350901147,0.7132751481909022
0.21821715,1600,83.0081666725308,0.6960024995490284
0.29286446,1600,86.62520848048906,0.6669408651417722
0.39304696,1600,93.13537691326545,0.6203216586632468
0.52749971,1600,104.85494577027829,0.5509887117164455
0.70794578,1600,125.95536466898174,0.45868543701093595
0.05011872,1800,112.078761940463,0.7358610730156625
0.06726324,1800,112.29547037167198,0.7344410041723476
0.09027252,1800,112.68457237632278,0.7319049652009553
0.12115277,1800,113.38376530951535,0.7273915961305171
0.16259647,1800,114.64092209623308,0.7194149917474025
0.21821715,1800,116.90231244934326,0.705498431089761
0.29286446,1800,120.97148771171481,0.681767246016845
0.39304696,1800,128.29543300928924,0.6428474972901435
0.52749971,1800,141.47995843382017,0.5829405022221277
0.70794578,1800,165.21794852820307,0.499185462345198
0.05011872,2000,153.73065063917255,0.7372856452676243
0.06726324,2000,153.97143792160776,0.7361326456639353
0.09027252,2000,154.4037737276826,0.7340714492756798
0.12115277,2000,155.1806552054456,0.730396464713056
0.16259647,2000,156.57749687228784,0.7238805333972188
0.21821715,2000,159.09015424612792,0.7124476212309141
0.29286446,2000,163.6114626590622,0.692759542099452
0.39304696,2000,171.74918427454622,0.6599356057070476
0.52749971,2000,186.39866528208972,0.6080698152123747
0.70794578,2000,212.77422479960566,0.5326932905555725
0.05011872,2250,218.86319216893156,0.738581542899357
0.06726324,2250,219.13407799921757,0.7376685344056094
0.09027252,2250,219.6204560280177,0.7360348716122596
0.12115277,2250,220.49444813428403,0.733117389230411
0.16259647,2250,222.06589580740834,0.7279294894349753
0.21821715,2250,224.8926367882998,0.7187799319022325
0.29286446,2250,229.97911133558674,0.702882593193994
0.39304696,2250,239.134052801569,0.675973631786112
0.52749971,2250,255.61472730337198,0.6323904567680027
0.70794578,2250,285.2872468272567,0.5666159842535358
0.05011872,2500,300.1959498119561,0.7395209519872151
0.06726324,2500,300.49693417714747,0.7387802314707506
0.09027252,2500,301.03735440542914,0.7374539781819157
0.12115277,2500,302.00845709843105,0.7350827083471037
0.16259647,2500,303.75451070273857,0.7308572770624647
0.21821715,2500,306.8953351555924,0.7233775465342049
0.29286446,2500,312.5469755941512,0.7102970494775066
0.39304696,2500,322.7191364731204,0.6879083682914334
0.52749971,2500,341.03100368157766,0.6509707099678429
0.70794578,2500,374.0004817937926,0.593585317117437
0.05011872,2750,399.5293798158286,0.7402227546833416
0.06726324,2750,399.8604627065103,0.7396098531533666
0.09027252,2750,400.45492511736876,0.7385119261987431
0.12115277,2750,401.5231383667297,0.736547187061705
0.16259647,2750,403.443797847603,0.7330407349970293
0.21821715,2750,406.8987056741727,0.7268166105719104
0.29286446,2750,413.11551182721746,0.7158790450548183
0.39304696,2750,424.3048918009835,0.6970005385724315
0.52749971,2750,444.44795114329094,0.6654114105902424
0.70794578,2750,480.7143868125346,0.6152109157064415
0.05011872,3000,518.6638385447081,0.7407603987344394
0.06726324,3000,519.0250199538191,0.7402449151366483
0.09027252,3000,519.673524534576,0.7393211578242511
0.12115277,3000,520.8388483175135,0.7376670021651138
0.16259647,3000,522.9341136339896,0.7347113562348747
0.21821715,3000,526.7031047605902,0.7294538960884822
0.29286446,3000,533.4850764955314,0.7201806550491802
0.39304696,3000,545.6916753254515,0.7040709052788302
0.52749971,3000,567.6659263720059,0.6768164407981925
0.70794578,3000,607.2293188248024,0.6327191720470303
0.05011872,3500,823.5369781089793,0.741516426262664
0.06726324,3500,823.9583565398174,0.7411372092480412
0.09027252,3500,824.7149454332031,0.7404572941039183
0.12115277,3500,826.0744902344743,0.7392386571932477
0.16259647,3500,828.5189671343777,0.7370575944865294
0.21821715,3500,832.9161247031442,0.7331664963506027
0.29286446,3500,840.8284273177574,0.7262673062215039
0.39304696,3500,855.0694633486087,0.7141714481429912
0.52749971,3500,880.7060968830785,0.6933825019081219
0.70794578,3500,926.8634012455313,0.6588524221389082
0.05011872,4000,1229.2173108967347,0.7420106366080148
0.06726324,4000,1229.6988863354295,0.7417200499434096
0.09027252,4000,1230.56355951654,0.7411988696840817
0.12115277,4000,1232.1173252913936,0.7402641783097822
0.16259647,4000,1234.9110136942613,0.7385895091011743
0.21821715,4000,1239.9363375604553,0.7355960880883549
0.29286446,4000,1248.9789707942966,0.7302703574008292
0.39304696,4000,1265.2544435573163,0.7208765984047324
0.52749971,4000,1294.553458735838,0.7045613398451315
0.70794578,4000,1347.3046734886182,0.6769755477997166
0.05011872,4500,1750.1064547760648,0.742351073568247
0.06726324,4500,1750.6482272133705,0.7421213384654393
0.09027252,4500,1751.6209846656022,0.7417092036093363
0.12115277,4500,1753.368971384204,0.7409697712034147
0.16259647,4500,1756.5118712363942,0.7396439653136133
0.21821715,4500,1762.165361303523,0.7372709928883628
0.29286446,4500,1772.3383249829633,0.7330391648412936
0.39304696,4500,1790.6482341656429,0.7255436220096468
0.52749971,4500,1823.6096304256407,0.7124295594219268
0.70794578,4500,1882.9547545558619,0.6899759021921746
0.05011872,5000,2400.6058638264044,0.7425953910093434
0.06726324,5000,2401.207833255847,0.7424092264809559
0.09027252,5000,2402.288674967579,0.7420752004883598
0.12115277,5000,2404.2308826090452,0.7414757305558495
0.16259647,5000,2407.722993873008,0.7404003096053422
0.21821715,5000,2414.004650073528,0.7384736603772384
0.29286446,5000,2425.307944077026,0.7350319593274937
0.39304696,5000,2445.65228946061,0.7289175398276501
0.52749971,5000,2482.27606640828,0.7181630094379209
0.70794578,5000,2548.2150992069223,0.6995794235197385
