"kc","mH","totwidth","h1h1"
0.05011872,251.,0.09956322610889332,0.2029222003351181
0.06726324,251.,0.12977746144972147,0.1556787186988309
0.09027252,251.,0.18402740213971472,0.109785763856737
0.12115277,251.,0.2815112873502284,0.0717683084918166
0.16259647,251.,0.4567884134052974,0.044229644013657185
0.21821715,251.,0.7720792396328495,0.026167766049618277
0.29286446,251.,1.3394176598986478,0.015083860336743915
0.39304696,251.,2.3605473206587844,0.008558857828294313
0.52749971,251.,4.1987792335177465,0.004811776897722929
0.70794578,251.,7.508411513299025,0.0026907940352889057
0.05011872,260.,0.1563752008177551,0.4422083328735463
0.06726324,260.,0.1876731422179538,0.36846197617386167
0.09027252,260.,0.24386888722114758,0.2835557157140663
0.12115277,260.,0.3448492659189831,0.20052360173105632
0.16259647,260.,0.5264131267344139,0.13136149792722268
0.21821715,260.,0.8530126150873659,0.08106611277876943
0.29286446,260.,1.4406999893088166,0.047997790913818734
0.39304696,260.,2.4984549158844143,0.027677272228027124
0.52749971,260.,4.402619427732625,0.01570665327572911
0.70794578,260.,7.830959611765934,0.008830388647706399
0.05011872,270.,0.20315807015437568,0.5240519369820499
0.06726324,270.,0.23566011683674964,0.4517751310956372
0.09027252,270.,0.29401784407797293,0.36210516579973734
0.12115277,270.,0.3988831750105694,0.26690867614337027
0.16259647,270.,0.587432223799373,0.18123857674906366
0.21821715,270.,0.9265967612094822,0.11489936575967166
0.29286446,270.,1.5368938483995707,0.06927308628946784
0.39304696,270.,2.6353430902354202,0.04039905869274316
0.52749971,270.,4.6127652811600095,0.023080597795160678
0.70794578,270.,8.173001760604683,0.013026472194233207
0.05011872,280.,0.2485051063117227,0.5695804817157594
0.06726324,280.,0.28221124642294215,0.5015521527080786
0.09027252,280.,0.34273093461943105,0.4129876934482951
0.12115277,280.,0.4514811795429401,0.313509542756909
0.16259647,280.,0.6470153475422448,0.21876398867434158
0.21821715,280.,0.9987448103179429,0.14172154558359845
0.29286446,280.,1.6316513879044514,0.0867487131204192
0.39304696,280.,2.770794544401746,0.051084140629567475
0.52749971,280.,4.82147369324698,0.029356928434578922
0.70794578,280.,8.513605169703027,0.016625584031728667
0.05011872,290.,0.2950012323388642,0.5997847124552675
0.06726324,290.,0.3299114552517064,0.5363173254390947
0.09027252,290.,0.39259308532218373,0.45068860335914884
0.12115277,290.,0.5052282099486962,0.3502124897781974
0.16259647,290.,0.7077474355084549,0.25000052340027223
0.21821715,290.,1.0720417127528168,0.16504696338538055
0.29286446,290.,1.7275575811863717,0.10242045257374643
0.39304696,290.,2.9073942931842014,0.060857665479742036
0.52749971,290.,5.031329753390616,0.035167090607224866
0.70794578,290.,8.855355062764398,0.019980817037626542
0.05011872,300.,0.34364793514904773,0.6216126347545272
0.06726324,300.,0.3797622312989321,0.5624990607025435
0.09027252,300.,0.4446057860701042,0.48046135495472414
0.12115277,300.,0.5611257595402429,0.3806916627227688
0.16259647,300.,0.7706299871749466,0.2771964521897819
0.21821715,300.,1.1474889790799008,0.18615943358971268
0.29286446,300.,1.825613958764559,0.11701044318291197
0.39304696,300.,3.0461439030153903,0.07012666019635273
0.52749971,300.,5.243335092674581,0.040740462820007955
0.70794578,300.,9.199253187273028,0.0232210043627765
0.05011872,312.5,0.4082830324185258,0.6417777223332407
0.06726324,312.5,0.4459024080632432,0.5876329660361622
0.09027252,312.5,0.5134483470717582,0.5103277790399631
0.12115277,312.5,0.6348243427132985,0.41275505203997676
0.16259647,312.5,0.8530597530293749,0.30716131394355967
0.21821715,312.5,1.2456245125008785,0.210357898374039
0.29286446,312.5,1.9520106549566891,0.13423438747504451
0.39304696,312.5,3.2234067322285727,0.08128882774644845
0.52749971,312.5,5.512166850493188,0.047536107255067316
0.70794578,312.5,9.632949606518476,0.02720111339890744
0.05011872,325.,0.47777714765649676,0.6568701815847877
0.06726324,325.,0.5169015908474882,0.6071514719535546
0.09027252,325.,0.587149892639597,0.5345101236879974
0.12115277,325.,0.7133818719014406,0.43992926383409
0.16259647,325.,0.94034839558358,0.33374604903049576
0.21821715,325.,1.3486187979363313,0.2327103568617188
